country;confirmed;deaths;recovered;Lat;Long;population;active;confirmed_ratio;deaths_ratio;recovered_ratio;active_ratio
Iceland;201648.0;179.0;189603.0;64.9631;-19.0208;372295.0;11866.0;0.5416349937549524;0.00048080151492767834;0.5092816180716905;0.03187257416833425
India;43959321.0;526212.0;42613284.0;20.593684;78.96288;1393409033.0;819825.0;0.03154803791199479;0.00037764359749202226;0.03058203513167551;0.0005883591828272582
Indonesia;6185311.0;156940.0;5671641.0;-0.7893;113.9213;276361788.0;356730.0;0.02238120922853488;0.0005678787980630665;0.020522522455239;0.0012908079752328133
Iraq;2438101.0;25304.0;2298305.0;33.223191;43.679291;41179351.0;114492.0;0.05920688259511424;0.0006144827294631234;0.055812074357364204;0.0027803255082869084
Ireland;1644166.0;7675.0;1289694.0;53.1424;-7.6921;5028230.0;346797.0;0.3269870312217222;0.0015263820469628478;0.25649065376882124;0.06896999540593807
Israel;4567884.0;11347.0;4315458.0;31.046051;34.851612;9364000.0;241079.0;0.48781332763776164;0.0012117684750106792;0.46085625800939767;0.02574530115335327
Italy;20837233.0;171439.0;19138326.0;41.87194;12.56738;59066225.0;1527468.0;0.35277746292403145;0.0029024878430947637;0.3240147139926413;0.025860261088295384
Jamaica;145803.0;3186.0;133265.0;18.1096;-77.2975;2973462.0;9352.0;0.04903476150023105;0.0010714782970153982;0.044818127825410246;0.0031451553778054
Japan;11904980.0;32190.0;9811136.0;36.204824;138.252924;125681593.0;2061654.0;0.09472333788767302;0.0002561234245336149;0.07806342811074968;0.016403786352389725
Jordan;1709879.0;14074.0;1639426.0;31.24;36.51;10269022.0;56379.0;0.16650845620936444;0.0013705297349640502;0.1596477249732253;0.005490201501175088
Kazakhstan;1427536.0;19022.0;1316352.0;48.0196;66.9237;19002586.0;92162.0;0.07512324901463412;0.0010010216504216848;0.06927225589190861;0.004849971472303823
Kenya;337456.0;5672.0;321905.0;-0.0236;37.9062;54985702.0;9879.0;0.006137159074553599;0.00010315408903936518;0.0058543400973584;0.0001796648881558337
Kiribati;3430.0;13.0;3059.0;-3.3704;-168.734;121388.0;358.0;0.028256499818762975;0.00010709460572708999;0.025200184532243715;0.0029492206807921707
Kosovo;248897.0;3167.0;227149.0;42.602636;20.902977;1806279.0;18581.0;0.13779543470305528;0.00175332825106199;0.1257552127882791;0.010286893663714188
Kuwait;653730.0;2559.0;631491.0;29.31166;47.481766;4328553.0;19680.0;0.1510273756611043;0.0005911906357621127;0.14588963101526076;0.004546554010081429
Latvia;858728.0;5887.0;803535.0;56.8796;24.6032;1883162.0;49306.0;0.45600325410134657;0.0031261251023544444;0.42669457009009315;0.026182558908898968
Lebanon;1164395.0;10519.0;1091272.0;33.8547;35.8623;6769151.0;62604.0;0.1720149247667839;0.0015539614938416945;0.16121253610681754;0.009248427166124673
Lesotho;34040.0;702.0;26441.0;-29.61;28.2336;2159067.0;6897.0;0.015766069325315057;0.00032514044260784867;0.012246493508538642;0.0031944353741685644
Liberia;7508.0;294.0;4636.0;6.428055;-9.429499;5180208.0;2578.0;0.0014493626510750147;5.675447781247394e-05;0.0008949447589749292;0.0004976634142876116
Libya;503611.0;6431.0;448241.0;26.3351;17.228331;6958538.0;48939.0;0.07237310481023457;0.0009241883855488035;0.06441597358525598;0.007032942839429777
Liechtenstein;18642.0;86.0;17383.0;47.14;9.55;38254.0;1173.0;0.4873215872849898;0.002248130914414179;0.454409996340252;0.030663460030323626
Lithuania;1179372.0;9205.0;1108893.0;55.1694;23.8813;2795321.0;61274.0;0.4219093263349719;0.0032930028429650833;0.39669612184074743;0.021920201651259373
Luxembourg;281271.0;1108.0;264017.0;49.8153;6.1296;639070.0;16146.0;0.440125494859718;0.0017337693836355955;0.41312688750841065;0.025264837967671774
Madagascar;66416.0;1407.0;63218.0;-18.766947;46.869107;28427333.0;1791.0;0.0023363429837051546;4.9494618436418217e-05;0.0022238456206918884;6.300274457684792e-05
Malawi;87323.0;2663.0;75286.0;-13.2543;34.3015;19647681.0;9374.0;0.004444443087201996;0.00013553762400763734;0.0038318008115054395;0.0004771046516889194
